County,Name,Address,City,State,Zip,Latitude,Longitude
Washington,Washington County Technical High,50 W Oak Ridge Dr,Hagerstown,MD,21740,39.614633,-77.735966
Washington,Clear Spring High,12630 Broadfording Rd,Clear Spring,MD,21722,39.657864,-77.936597
Washington,Boonsboro High,10 Campus Ave,Boonsboro,MD,21713,39.515989,-77.651764
Washington,Smithsburg High,66 N Main St,Smithsburg,MD,21783,39.659786,-77.575118
Washington,Washington County Job Development Center,1350 Marshall St,Hagerstown,MD,21740,39.661345,-77.732095
Washington,Marshall Street School,1350 Marshall St,Hagerstown,MD,21740,39.661345,-77.732095
Washington,North Hagerstown High,1200 Pennsylvania Ave,Hagerstown,MD,21742,39.662353,-77.716311
Wicomico,Wicomico High,201 Long Avenue,Salisbury,MD,21804,38.365459,-75.580717
Wicomico,Wicomico County Evening High,201 Long Ave,Salisbury,MD,21802,38.365459,-75.580717
Wicomico,Parkside High,1015 Beaglin Park Dr,Salisbury,MD,21804,38.349412,-75.573878
Worcester,Pocomoke High,1817 Old Virginia Rd,Pocomoke City,MD,21851,38.059615,-75.55277
Worcester,Snow Hill High,305 S Church St,Snow Hill,MD,21863,38.171297,-75.392823
Worcester,Stephen Decatur High,9913 Seahawk Rd,Berlin,MD,21811,38.343362,-75.190074
Baltimore City,Renaissance Academy,1301 Mcculloh St,Baltimore,MD,21217,39.303134,-76.627909
Baltimore City,George W. F. McMechen,4411 Garrison Blvd,Baltimore,MD,21215,39.337279,-76.683321
Baltimore City,Benjamin Franklin High School at Masonville Cove,1201 Cambria St,Baltimore,MD,21225,39.232033,-76.594068
Baltimore City,Independence School Local I,2801 N Dukeland Street,Baltimore,MD,21226,39.318833,-76.664437
Baltimore City,The Reach! Partnership School,2801 St. Lo Drive,Baltimore,MD,21213,39.318387,-76.586997
Baltimore City,Bard High School Early College,2801 N Dukeland Street,Baltimore,MD,21216,39.318833,-76.664437
Baltimore City,City Neighbors High School,5609 Sefton Ave,Baltimore,MD,21214,39.350456,-76.554789
Baltimore City,Edmondson-Westside High,501 N Athol Ave,Baltimore,MD,21229,39.291869,-76.688206
